iteration_no,link_id,from_node_id,to_node_id,volume,ref_volume,base_volume,obs_volume,capacity,D,doc,fftt,travel_time,VDF_alpha,VDF_beta,VDF_plf,speed_mph,speed_kmph,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,mod_vol_auto,P,t0,t2,t3,vt2_mph,vt2_kmph,mu,Q_gamma,free_speed_mph,cutoff_speed_mph,free_speed_kmph,cutoff_speed_kmph,congestion_ref_speed_mph,avg_queue_speed_mph,avg_QVDF_period_speed_mph,congestion_ref_speed_kmph,avg_queue_speed_kmph,avg_QVDF_period_speed_kmph,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_mph_14:00,spd_mph_14:05,spd_mph_14:10,spd_mph_14:15,spd_mph_14:20,spd_mph_14:25,spd_mph_14:30,spd_mph_14:35,spd_mph_14:40,spd_mph_14:45,spd_mph_14:50,spd_mph_14:55,spd_mph_15:00,spd_mph_15:05,spd_mph_15:10,spd_mph_15:15,spd_mph_15:20,spd_mph_15:25,spd_mph_15:30,spd_mph_15:35,spd_mph_15:40,spd_mph_15:45,spd_mph_15:50,spd_mph_15:55,spd_mph_16:00,spd_mph_16:05,spd_mph_16:10,spd_mph_16:15,spd_mph_16:20,spd_mph_16:25,spd_mph_16:30,spd_mph_16:35,spd_mph_16:40,spd_mph_16:45,spd_mph_16:50,spd_mph_16:55,spd_mph_17:00,spd_mph_17:05,spd_mph_17:10,spd_mph_17:15,spd_mph_17:20,spd_mph_17:25,spd_mph_17:30,spd_mph_17:35,spd_mph_17:40,spd_mph_17:45,spd_mph_17:50,spd_mph_17:55,
10,1,1,4,0.0000,0.0000,0.0000,-1.0000,3000.0000,0.0000,0.0000,0.0150,0.0150,0.1500,4.0000,1.0000,9.3226,15.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"(null)",0.000000,0.000000,16.000000,16.000000,16.000000,27.967681,44.999999,0.000000,nan,37.290241,27.967681,59.999998,44.999999,37.290241,37.290241,37.290241,59.999998,59.999998,59.999998,0.015000,0.000000,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,nan,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,
10,2,4,2,0.0000,0.0000,0.0000,-1.0000,3000.0000,0.0000,0.0000,0.0150,0.0150,0.1500,4.0000,1.0000,9.3226,15.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"(null)",0.000000,0.000000,16.000000,16.000000,16.000000,27.967681,44.999999,0.000000,nan,37.290241,27.967681,59.999998,44.999999,37.290241,37.290241,37.290241,59.999998,59.999998,59.999998,0.015000,0.000000,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,nan,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,37.290,
10,3,1,3,7000.0000,0.0000,0.0000,-1.0000,4000.0000,1750.0000,0.4375,0.0100,0.0101,0.1500,4.0000,1.0000,6.2150,10.0000,43.505283,1.173078,43.505283,1.173078,1.242723,1.242723,"(null)",7000.000000,0.437500,15.781250,16.000000,16.218750,27.682442,44.541049,4000.000000,261.178786,37.290241,27.967681,59.999998,44.999999,33.211621,33.030106,35.008028,53.437498,53.145440,56.327918,0.010652,0.000000,37.290,37.099,36.909,36.718,36.527,36.336,36.145,35.955,35.764,35.573,35.382,35.191,35.000,34.810,34.619,34.428,34.237,34.046,33.856,33.665,33.474,33.283,32.084,28.981,27.682,28.981,32.084,33.283,33.474,33.665,33.856,34.046,34.237,34.428,34.619,34.810,35.000,35.191,35.382,35.573,35.764,35.955,36.145,36.336,36.527,36.718,36.909,37.099,
10,4,3,2,7000.0000,0.0000,0.0000,-1.0000,4000.0000,1750.0000,0.4375,0.0100,0.0101,0.1500,4.0000,1.0000,6.2150,10.0000,43.505283,1.173078,43.505283,1.173078,1.242723,1.242723,"(null)",7000.000000,0.437500,15.781250,16.000000,16.218750,27.682442,44.541049,4000.000000,261.178786,37.290241,27.967681,59.999998,44.999999,33.211621,33.030106,35.008028,53.437498,53.145440,56.327918,0.010652,0.000000,37.290,37.099,36.909,36.718,36.527,36.336,36.145,35.955,35.764,35.573,35.382,35.191,35.000,34.810,34.619,34.428,34.237,34.046,33.856,33.665,33.474,33.283,32.084,28.981,27.682,28.981,32.084,33.283,33.474,33.665,33.856,34.046,34.237,34.428,34.619,34.810,35.000,35.191,35.382,35.573,35.764,35.955,36.145,36.336,36.527,36.718,36.909,37.099,
