from_node_id,to_node_id,travel_time_before,travel_time_after,travel_time_diff,volume_before,volume_after,volume_diff
1,4,0.015,0.0129,-0.0020999999999999994,0.0,5687.5,5687.5
4,2,0.015,0.0151,0.00010000000000000113,0.0,5687.5,5687.5
1,3,0.0101,0.0101,0.0,7000.0,8312.5,1312.5
3,2,0.0101,0.0186,0.008499999999999999,7000.0,8312.5,1312.5
